perangkatid;name;processor_brand;processor_name;ram;storage_capacity;storage_type;battery;screen;graphic;price
30687;HP Pavilion Gaming Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;4;Full HD IPS Micro-Edge Anti-glare Display (250 nits Brightness, 141 PPI, 45% NTSC Color Gamut);NVIDIA GeForce GTX 1650;14189513
30688;ASUS Ryzen 7 Octa Core 5800U;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;5;Full HD OLED Glossy Display (16:9, 400nits Brightness, DCI-P3: 100% Color Gamut, 88% Screen-to-body Ratio, IPS-level Panel);AMD Radeon;17737413
30689;DELL Vostro Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;10;Full HD WVA AG Narrow Border;Intel Integrated UHD;8137213
30690;acer Aspire 5 Ryzen 5 Hexa Core AMD Ryzen 5;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;13;Full HD IPS Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, 45% NTSC color gamut;AMD Radeon 5500U;10850313
30691;acer Swift 3 Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;12;Full HD IPS1 high-brightness (300nits) Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, 100% sRGB color gamut;AMD Radeon 5500U;11789463
30692;ASUS Ryzen 5 Hexa Core 5600U;AMD;Ryzen 5 Hexa Core;16 GB;512 GB;SSD;7;Full HD OLED Glossy Display (16:9, 400nits Brightness, DCI-P3: 100% Color Gamut, 88% Screen-to-body Ratio, IPS-level Panel);AMD Radeon;15650413
30693;DELL Inspiron Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;7;Full HD Anti Glare Display;NVIDIA GeForce MX350;1442096
30694;DELL Vostro Core i3 11th Gen;Intel;Core i3;8 GB;1 TB;HDD;10;Full HD WVA AG Narrow Border Display;Intel Integrated UHD;8763313
30695;DELL Vostro Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;10;Full HD Anti Glare Display;NVIDIA GeForce MX330;11309453
30696;Lenovo Ideapad Slim 3i Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;11;Full HD LED Backlit, IPS Anti-Glare Display (300 nits Brightness, 45% NTSC Color Gamut);Intel Integrated INTEGRATED INTEL IRIS XE GRAPHICS;12311213
